rank,cluster,violation_count,congestion_impact_index,cii_normalized,cii_density,avg_impact_score,avg_severity,junction_pct,peak_hour,centroid_lat,centroid_lon,approx_radius_m,dominant_police_station,dominant_junction,dominant_violation_type,dominant_vehicle_type,unique_vehicles
17,16,1602,4436.900000000001,4.344661360874014,70126.38134823392,2.769600499375781,2.064294631710362,0.9057428214731585,3,12.992327772382763,77.58885084150043,141.91364974469738,High ground,BTP032 - Windsor Circle,WRONG PARKING,SCOOTER,884
18,104,1211,4426.0,4.333968681239448,12916.912442294004,3.6548307184145337,2.133773740710157,0.0,5,12.963451297322424,77.71733895232805,330.2565278187322,HAL Old Airport,No Junction,WRONG PARKING,MAXI-CAB,1137
19,143,549,4290.0,4.200555430753127,127645.81304804161,7.814207650273224,3.1311475409836067,1.0,7,12.97703689708561,77.57075703989071,103.43092835958556,Chamarajpet,BTP048 - Shanthala Junction,NO PARKING,PASSENGER AUTO,534
20,74,695,3897.4,3.8154227679521746,55156.0966334602,5.607769784172662,2.79136690647482,1.0,1,12.953167975155413,77.54222950146689,149.97393692126352,Byatarayanapura,BTP096 - Gali Anjaneya Temple,WRONG PARKING,SCOOTER,671
21,140,528,3414.0,3.3412171408559432,133717.66535429473,6.465909090909091,3.515151515151515,0.0,8,12.930582739317341,77.68536382695437,90.1493146372331,HAL Old Airport,No Junction,NO PARKING,CAR,506
22,78,453,3324.0,3.2529289603870546,208205.553572221,7.337748344370861,3.803532008830022,0.0,2,13.191274310507726,77.64624639933776,71.28684865263412,Chikkajala,No Junction,NO PARKING,CAR,445
23,61,1078,3100.5,3.0336799788893143,304046.8297348335,2.8761595547309833,2.070500927643785,1.0,11,12.973603932189238,77.55109295538034,56.97321032759466,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",NO PARKING,SCOOTER,1026
24,34,529,3038.1,2.9724668404308847,49038.494831005635,5.743100189035917,2.387523629489603,1.0,1,12.993262514900435,77.5535851366465,140.42923505890104,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",WRONG PARKING,CAR,380
25,21,718,2971.0,2.9066430969924135,29418.80194983227,4.137883008356546,3.043175487465181,0.0,3,12.957894206979624,77.70165423869105,179.29323292726306,HAL Old Airport,No Junction,NO PARKING,CAR,663
26,97,785,2913.3,2.850040563514026,47202.937826355475,3.711210191082803,2.1745222929936308,1.0,10,12.944206265500004,77.5710974148885,140.16292547013794,Basavanagudi,BTP108 - Tagore Park Junction,WRONG PARKING,SCOOTER,733
27,38,591,2879.7,2.817079642805641,18421.37654763361,4.87258883248731,2.44331641285956,0.14720812182741116,5,12.959674020942453,77.64671352908574,223.0681917903246,Jeevanbheemanagar,No Junction,NO PARKING,PASSENGER AUTO,568
28,115,928,2787.2000000000003,2.7263390128792833,188797.86383837825,3.0034482758620693,2.052801724137931,1.0,4,12.981290623922416,77.59844352165949,68.55049454006954,Shivajinagar,BTP042 - Minsk Square Junction (CTO),WRONG PARKING,SCOOTER,568
29,58,364,2643.0,2.5848817281724634,19217.440708883198,7.260989010989011,4.791208791208791,0.0,8,12.949986552990756,77.69960164329531,209.23092271315798,HAL Old Airport,No Junction,NO PARKING,CAR,355
30,44,948,2627.0,2.569186051644661,227973.2661611909,2.771097046413502,2.090717299578059,0.0,4,13.035314523628692,77.58902232183544,60.56380317111484,Hebbala,No Junction,NO PARKING,SCOOTER,826
31,75,640,2616.9,2.559278155836486,18844.632021433303,4.08890625,2.1,1.0,8,12.92916965828125,77.58183397328125,210.2445741056139,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",NO PARKING,CAR,551
32,130,340,2431.0,2.376914014179081,33622.71163771133,7.15,3.8970588235294117,0.0,11,12.995458590533453,77.69591397807537,151.70544722897256,Mahadevapura,No Junction,NO PARKING,PASSENGER AUTO,327
33,139,823,2316.0,2.264101339135501,99658.95448960639,2.8140947752126366,2.2952612393681653,0.0,11,13.071052277399756,77.58793200243014,86.00747102809078,Kodigehalli,No Junction,WRONG PARKING,SCOOTER,750
34,174,727,2304.0,2.2523295817396494,293354.3911069815,3.169188445667125,2.5749656121045392,0.0,7,12.971744540102062,77.65810091307173,24.391146032480105,Jeevanbheemanagar,No Junction,NO PARKING,SCOOTER,576
35,23,472,2237.3,2.186898230214373,136415.19147581846,4.740042372881356,2.1038135593220337,1.0,7,12.971362217161017,77.59753117436442,72.25298709938048,Cubbon Park,BTP063 - Siddalingaiah Circle,NO PARKING,CAR,444
36,79,699,2208.7,2.158842208420926,43661.93536784921,3.159799713876967,2.2660944206008584,0.43204577968526464,4,12.975717578386572,77.55972226177482,126.89424848449944,Magadi Road,No Junction,NO PARKING,SCOOTER,654
37,100,233,2187.0,2.137554947130094,111252.69603426807,9.3862660944206,5.07725321888412,0.0,5,12.979085451301474,77.6951208354154,79.10322376616669,Mahadevapura,No Junction,NO PARKING,CAR,219
38,14,585,2150.0,2.101258695159551,56180.878647986196,3.675213675213675,2.3965811965811965,0.0,10,13.005698587453658,77.68579506415745,110.36974268696375,K.R. Pura,No Junction,WRONG PARKING,CAR,567
39,69,522,2138.5,2.089977427655193,19906.425130820728,4.096743295019157,2.0613026819923372,1.0,5,12.985812779253939,77.55429704420395,184.9196460676454,Rajajinagar,BTP061 - Bhashyam Circle,NO PARKING,CAR,463
40,185,499,2026.1000000000001,1.9797153000473813,64815.222788105144,4.060320641282566,2.2645290581162323,0.9218436873747495,9,12.935770533466934,77.61588479458919,99.75093906021816,Adugodi,BTP135 - UCO Bank Junction,NO PARKING,SCOOTER,481
41,88,362,1918.8,1.874456169332806,14799.749349836213,5.300552486187845,2.6933701657458564,1.0,11,12.980404067235478,77.55669627135443,203.1480876654546,Magadi Road,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",NO PARKING,SCOOTER,346
42,106,684,1881.1000000000001,1.8374732315141717,30709.744283199132,2.7501461988304094,2.010233918128655,1.0,4,12.96203027368421,77.59814666798246,139.63455499553214,Ashok Nagar,BTP172 - Nanjappa Circle,NO PARKING,SCOOTER,501
43,18,462,1826.0,1.783421245471552,45708.57923855655,3.9523809523809526,2.0562770562770565,0.0,2,12.927451307467472,77.67965123533062,112.7655880733444,Bellandur,No Junction,WRONG PARKING,MAXI-CAB,448
44,51,391,1814.8,1.77243427190209,13757.151821933872,4.641432225063938,2.1381074168797953,1.0,10,12.956365061636829,77.58567799846547,204.91567637559223,Wilson Garden,BTP192 - Urvashi Theater,NO PARKING,CAR,374
45,29,268,1795.3000000000002,1.753305166133831,40374.70186603151,6.698880597014926,3.376865671641791,1.0,8,12.927451339179106,77.58590548171641,118.97039811236553,Jayanagara,"BTP226 - 33rd Cross, 11th Main, Jayanagar",NO PARKING,CAR,262
46,71,361,1625.0,1.5862443090910339,20886.41696100315,4.501385041551247,2.770083102493075,0.0,13,12.906449824573645,77.63009758482274,157.36921355742294,HSR Layout,No Junction,WRONG PARKING,CAR,351
47,5,378,1615.9,1.5773173930658462,20646.057638698552,4.274867724867725,2.126984126984127,1.0,9,12.998474714283857,77.54195477460203,157.83878762627774,Vijayanagara,"BTP206 - Shankara Mutt Circle, Vijayanagar",WRONG PARKING,CAR,336
48,45,418,1577.0,1.5391572795076265,23813.54285621492,3.772727272727273,2.2416267942583734,0.0,2,12.892071055560871,77.63795620606184,145.18739202553627,Hulimavu,No Junction,WRONG PARKING,CAR,358
49,76,351,1550.6,1.5132594132367523,16074.97324231177,4.417663817663818,3.1452991452991452,0.04843304843304843,10,12.964400325925924,77.55397355754985,175.22651522754234,Magadi Road,No Junction,NO PARKING,SCOOTER,315
50,43,507,1540.0,1.5028610275370833,28087.96058252118,3.037475345167653,2.1617357001972386,0.0,12,12.841981707889547,77.64565966331362,132.1068449371994,Electronic City,No Junction,WRONG PARKING,SCOOTER,484
51,252,163,1538.0,1.500899067971108,28754.07781316919,9.43558282208589,4.9079754601226995,0.0,10,13.007561553374233,77.52686095337424,130.48287270589248,Rajajinagar,No Junction,NO PARKING,CAR,138
52,151,564,1518.3,1.4815737662462511,10317.662346491843,2.6920212765957445,2.1826241134751774,0.047872340425531915,4,12.97144156597234,77.6070483297045,216.427879362827,Ashok Nagar,No Junction,NO PARKING,SCOOTER,482
53,85,405,1493.0,1.4567549777366637,6935.596831957212,3.68641975308642,2.074074074074074,0.0,11,13.027740939259258,77.57500734567901,261.7658861238858,Sadashivanagar,No Junction,WRONG PARKING,CAR,376
54,137,230,1402.0,1.3674858174847873,65866.20928408802,6.095652173913043,3.608695652173913,0.0,10,13.030605120794887,77.53627014192803,82.31286831494606,Yeshwanthpura,No Junction,WRONG PARKING,CAR,225
55,142,400,1374.4,1.3404107754743282,47987.81858894264,3.4360000000000004,2.1175,0.06,4,12.98917235725,77.5990353645,95.4808183682227,Shivajinagar,No Junction,WRONG PARKING,CAR,352
56,186,359,1326.0,1.2929313539777259,14038.841653137917,3.6935933147632314,2.1114206128133706,1.0,10,12.977807592825295,77.54414186379813,173.39285115402225,Vijayanagara,BTP068 - Veeresh Theatre Junction,NO PARKING,SCOOTER,306
57,184,209,1297.0,1.2644829402710838,50525.38617036962,6.205741626794258,3.3636363636363638,0.0,2,12.97146344095659,77.71196092753847,90.39413034853114,HAL Old Airport,No Junction,WRONG PARKING,CAR,206
58,62,102,1293.0,1.2605590211391333,54998.66328923821,12.676470588235293,6.2745098039215685,0.0,3,12.926612974509803,77.60894490098039,86.5064039585,Mico Layout,No Junction,WRONG PARKING,CAR,96
59,13,325,1290.0,1.2576160817901703,10232.825007185416,3.9692307692307693,2.4246153846153846,0.0,7,12.969831373538462,77.639857892,200.3190007601245,Jeevanbheemanagar,No Junction,NO PARKING,CAR,315
60,121,416,1229.2,1.197972510984521,16020.56441667469,2.9548076923076922,2.0096153846153846,0.4206730769230769,12,12.913676602163461,77.6063948002404,156.27785194566093,Mico Layout,No Junction,NO PARKING,SCOOTER,384
61,42,237,1222.0,1.19090945654701,29400.732095313782,5.156118143459915,2.1181434599156117,1.0,8,12.983714145033542,77.57769127353924,115.0221799405033,High ground,BTP054 - Shivananda Circle,NO PARKING,CAR,234
62,1,220,1212.0,1.1810996587171334,29183.946984005615,5.509090909090909,3.5272727272727273,0.0,11,12.957552402272727,77.51891085272727,114.9752492448803,Byatarayanapura,No Junction,NO PARKING,CAR,217
63,119,98,1202.2,1.1714860568438545,153068.85806806126,12.26734693877551,4.755102040816326,0.9897959183673469,2,12.930514485714285,77.60973555612246,47.892337062149934,Mico Layout,BTP140 - Madiwala Check Post,WRONG PARKING,CAR,80
64,123,282,1199.0,1.168346921538294,138370.5203023337,4.25177304964539,2.273049645390071,0.0,12,12.960943023758865,77.51174843262412,52.518567074157474,Jnanabharathi,No Junction,NO PARKING,CAR,268
65,260,151,1167.0,1.136955568482689,36978.90409608886,7.728476821192053,4.801324503311259,0.0,13,13.12154094437086,77.63117182913908,100.22670974713873,Chikkajala,No Junction,NO PARKING,MAXI-CAB,146
66,57,221,1158.0,1.1281267504358001,28603.89909521252,5.239819004524887,2.823529411764706,0.0,4,13.017411671493212,77.53142927828054,113.51852112943483,Rajajinagar,No Junction,WRONG PARKING,CAR,171
67,4,439,1143.0,1.1134120536909853,35340.692271912536,2.6036446469248293,2.120728929384966,0.0,12,12.995608230296128,77.61397178291571,101.46369001741759,Pulikeshinagar(F.Town),No Junction,NO PARKING,SCOOTER,407
68,95,317,1081.0,1.0525913071457509,13947.334084333841,3.410094637223975,2.1009463722397475,0.0,3,12.995414412933753,77.61039865173501,157.0696618383345,Pulikeshinagar(F.Town),No Junction,WRONG PARKING,CAR,273
69,7,451,1058.0,1.030028772137035,28124.59577138396,2.3458980044345896,2.0310421286031044,0.0,14,12.912469580501892,77.63468376384269,109.42706550110657,HSR Layout,No Junction,WRONG PARKING,MOTOR CYCLE,441
70,66,197,1045.2,1.017472230914793,11139.651069028836,5.305583756345178,2.451776649746193,1.0,10,12.986019595158204,77.54927554527919,172.81799826288577,Vijayanagara,BTP018 - Dhobi Ghat Junction,WRONG PARKING,CAR,173
71,131,297,1035.0,1.007466237128319,42065.41804493018,3.484848484848485,2.208754208754209,0.0,2,13.097043495286195,77.5995391959596,88.4978324748385,Yelahanka,No Junction,WRONG PARKING,SCOOTER,269
72,495,104,1033.0,1.0055042775623437,88945.87815658728,9.932692307692308,7.153846153846154,0.0,7,12.991585602884614,77.65230233269232,60.80122240085976,Banaswadi,No Junction,PARKING IN A MAIN ROAD,SCOOTER,96
73,63,235,1029.6000000000001,1.0021689463001857,27417.542707205954,4.381276595744682,2.1617021276595745,1.0,10,12.988030344572094,77.5375177345115,109.33143951432262,Vijayanagara,BTP208 - Havanur Circle,WRONG PARKING,CAR,222
74,234,76,1020.5,0.9932420302749979,75647.5107812418,13.427631578947368,5.7105263157894735,1.0,2,12.935583744736842,77.60812599868422,65.52910663555689,Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,WRONG PARKING,CAR,68
75,247,103,960.0,0.9338927534042449,117244.8232881851,9.320388349514563,4.970873786407767,0.0,1,13.028930251392786,77.5396404123301,51.052127121228104,Yeshwanthpura,No Junction,NO PARKING,CAR,100
76,135,309,944.0,0.9181970768764425,11134.010842665024,3.0550161812297736,2.1197411003236244,0.0,7,13.022724566019418,77.59283707734629,164.280206788149,R.T. Nagar,No Junction,WRONG PARKING,CAR,296
77,65,84,941.0,0.9152541375274795,119811.8411595788,11.202380952380953,7.25,0.0,5,12.978268114285713,77.62865900357143,32.36270267245837,Jeevanbheemanagar,No Junction,WRONG PARKING,SCOOTER,80
78,160,263,938.1,0.9124092961568153,50757.91071480281,3.566920152091255,2.193916349809886,0.9809885931558935,3,12.917035693850622,77.57352129489577,76.70042367624664,Banashankari,"BTP115 - Sahasra Hospital, Jayanagar",NO PARKING,SCOOTER,242
79,84,230,908.8,0.8836665885152771,39320.25225248627,3.951304347826087,2.0130434782608697,0.017391304347826087,3,12.98662497173913,77.57447289608695,85.77309379955544,Sheshadripuram,No Junction,NO PARKING,CAR,218
80,169,158,877.0,0.8524714314162698,55393.77678586626,5.550632911392405,3.1139240506329116,0.0,4,13.018666048713518,77.55816398167637,70.98954163125772,Yeshwanthpura,No Junction,NO PARKING,CAR,149
81,268,227,874.0,0.8495284920673069,46550.219093933694,3.850220264317181,2.4317180616740086,0.0,4,13.04993878370044,77.59310023259913,77.30719492614912,Kodigehalli,No Junction,NO PARKING,CAR,205
82,102,273,867.0,0.8426616335863932,21614.618351123845,3.1758241758241756,2.0549450549450547,0.0,10,12.899846676590899,77.67547820969543,112.99541631535878,Bellandur,No Junction,NO PARKING,CAR,268
83,20,215,832.0,0.8083273411818255,82536.3608505326,3.869767441860465,2.046511627906977,0.0,4,12.925880298230084,77.67632185245768,56.64532444866158,Bellandur,No Junction,WRONG PARKING,CAR,206
84,256,121,824.2,0.8006756988745218,73605.4833577606,6.811570247933885,3.1074380165289255,1.0,13,12.966283816528925,77.64151825289257,59.70164314980671,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",NO PARKING,CAR,107
85,90,141,802.1,0.7789960456704946,102126.5438832074,5.688652482269504,2.2056737588652484,1.0,10,12.996477036170212,77.58446336170212,34.698065177375796,Sheshadripuram,BTP032 - Windsor Circle,NO PARKING,CAR,124
86,0,171,784.3000000000001,0.7615346055333145,39173.733382204766,4.586549707602339,2.087719298245614,0.8362573099415205,1,12.924977152046782,77.61882235263157,79.83047062378881,Madiwala,BTP137 - Madiwala Traffic PS Junction,NO PARKING,CAR,148
87,317,69,769.0,0.7465256148536034,97912.120990134,11.144927536231885,5.420289855072464,0.0,11,13.015271806827558,77.55511406080542,28.674457405705546,Malleshwaram,No Junction,NO PARKING,CAR,69
88,111,282,761.0,0.7386777765897021,52703.20033781988,2.698581560283688,2.0921985815602837,0.0,4,13.000149328014185,77.61122423971631,67.79519246992352,Pulikeshinagar(F.Town),No Junction,NO PARKING,SCOOTER,257
89,200,61,741.0,0.7190581809299491,94347.05026487555,12.147540983606557,6.737704918032787,0.0,7,12.951586698347787,77.71745054824036,28.50281496048399,Whitefield,No Junction,WRONG PARKING,CAR,55
90,68,290,740.0,0.7180772011469614,89737.78630391698,2.5517241379310347,2.0206896551724136,0.0,12,12.91164795551724,77.63808631551724,51.23340821655109,HSR Layout,No Junction,NO PARKING,SCOOTER,266
91,248,103,703.3000000000001,0.6820752431113146,89546.937181224,6.828155339805826,3.679611650485437,1.0,10,12.96360931911028,77.64152772509769,42.500905062783694,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",NO PARKING,CAR,99
92,320,173,686.0,0.6651042928656282,14663.38603429506,3.9653179190751446,2.7630057803468207,0.0,9,12.978330898265895,77.63975089479769,122.03094865397608,Jeevanbheemanagar,No Junction,NO PARKING,SCOOTER,161
93,59,126,681.0,0.6601993939506899,13580.214995585358,5.404761904761905,2.8095238095238093,0.0,13,13.063210742857143,77.59150842063492,126.34128706719252,Kodigehalli,No Junction,WRONG PARKING,CAR,120
94,128,152,673.4,0.6527439475999838,32793.530581392544,4.4302631578947365,2.0921052631578947,1.0,5,12.989723524342105,77.55331300657895,80.84767439328836,Rajajinagar,"BTP204 - ESI Hospital, Rajajinagar",WRONG PARKING,SCOOTER,137
95,133,116,666.9,0.6463675790105641,84912.34523838799,5.749137931034483,2.4655172413793105,1.0,2,12.989666590749572,77.55048746706784,46.10940791817062,Vijayanagara,"BTP170 - Dr. Bheem Rao Palace, Chord Road",WRONG PARKING,CAR,80
96,170,212,663.0,0.6425417578569123,16235.022115424314,3.1273584905660377,2.188679245283019,0.0,11,12.990337500471698,77.57244277594339,114.01326574162147,Sheshadripuram,No Junction,NO PARKING,SCOOTER,191
97,220,194,651.0,0.6307700004610604,9982.079676899995,3.3556701030927836,2.0309278350515463,0.0,3,12.941588065979381,77.56708885463918,144.0804452462594,Basavanagudi,No Junction,NO PARKING,CAR,185
98,318,57,643.0,0.6229221621971591,32325.204511139258,11.280701754385966,5.771929824561403,0.0,11,12.931181575438597,77.69503742807018,79.57193322581593,HAL Old Airport,No Junction,WRONG PARKING,CAR,57
99,342,121,642.2,0.6221373783707691,80965.32417358606,5.307438016528926,2.0661157024793386,1.0,7,12.987145177685951,77.58031229917356,50.2470633381104,High ground,BTP054 - Shivananda Circle,NO PARKING,CAR,118
100,359,202,642.1,0.6220392803924703,31617.420250611536,3.1787128712871286,2.732673267326733,0.4158415841584158,11,12.960840185031023,77.52828177905133,80.40132070595196,Byatarayanapura,No Junction,WRONG PARKING,SCOOTER,186
101,141,226,637.0,0.6170362834992332,29345.394755202688,2.8185840707964602,2.0442477876106193,0.0,8,12.993626796460177,77.66239929867257,83.12368765861284,Banaswadi,No Junction,NO PARKING,SCOOTER,220
102,40,69,633.1,0.6132104623455814,70558.77582349519,9.17536231884058,4.565217391304348,1.0,5,12.936783450724636,77.60174624202898,53.44236905086975,Mico Layout,BTP126 - Dairy Circle,WRONG PARKING,SCOOTER,69
103,239,153,631.8000000000001,0.6119351886276975,12201.51162140306,4.129411764705883,2.189542483660131,1.0,10,12.985080188888888,77.56008683986929,128.38315833294203,Rajajinagar,BTP010 - Rajajinagar Entrance,WRONG PARKING,CAR,122
104,127,123,626.0,0.606245505886369,24057.227824348687,5.0894308943089435,3.5365853658536586,0.0,3,13.034280275346696,77.55754187428796,91.0100681854753,Yeshwanthpura,No Junction,WRONG PARKING,CAR,120
105,9,149,625.9,0.6061474079080703,29495.862290264176,4.200671140939598,2.087248322147651,0.7516778523489933,8,12.988868467270999,77.59225095857234,82.18583860297167,High ground,BTP034 - LRDE Junction,NO PARKING,CAR,143
106,70,81,616.0,0.5964357080564926,69757.92859942686,7.604938271604938,4.777777777777778,0.0,12,12.906850941700089,77.54603057182707,53.01742512042578,K.S. Layout,No Junction,WRONG PARKING,CAR,77
107,73,102,615.0,0.5954547282735049,19149.29063917503,6.029411764705882,3.0980392156862746,0.0,13,13.062851258823528,77.58701903137255,101.10817609987429,Kodigehalli,No Junction,WRONG PARKING,CAR,94
108,47,208,574.0,0.5552345571710111,54738.86253555748,2.7596153846153846,2.2211538461538463,0.3605769230769231,12,12.937259951442307,77.5849888985577,57.77409158586822,Wilson Garden,No Junction,NO PARKING,SCOOTER,205
109,219,119,573.0,0.5542535773880235,59148.25630687065,4.815126050420168,4.647058823529412,0.0,4,12.987232678991598,77.73527166890757,55.53047668612465,Whitefield,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,112
110,144,167,569.0,0.5503296582560729,28605.660074798616,3.407185628742515,2.317365269461078,0.0,6,13.008784367065868,77.54305530598802,79.5710721939442,Rajajinagar,No Junction,NO PARKING,SCOOTER,152
111,381,56,568.1,0.5494467764513841,45335.48344826413,10.144642857142857,4.142857142857143,1.0,3,12.936551871428572,77.6059150375,63.15654047328172,Mico Layout,BTP126 - Dairy Circle,NO PARKING,CAR,49
112,89,166,567.0,0.5483676986900976,18445.372506061907,3.4156626506024095,2.753012048192771,0.0,10,13.027454397590361,77.54283791927712,98.91744221935045,Yeshwanthpura,No Junction,NO PARKING,MOTOR CYCLE,145
113,82,79,559.0,0.5405198604261964,71174.09055069559,7.075949367088608,4.531645569620253,0.0,10,13.045874673417723,77.75035631518988,43.380863142725715,K.R. Pura,No Junction,NO PARKING,CAR,79
114,380,121,534.3000000000001,0.5162896597864014,21049.639986070015,4.415702479338844,2.1322314049586777,1.0,4,12.961052288429752,77.6370314876033,89.8866747491958,Halasur,"BTP145 - Sri Hatti Maramma Circle, Domluru",NO PARKING,CAR,104
115,378,83,526.5,0.5086380174790976,33805.349911581114,6.343373493975903,2.8072289156626504,1.0,6,12.917303766265059,77.57822017108434,70.40954431757135,Jayanagara,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",NO PARKING,CAR,77
116,50,142,518.0,0.5002996893237026,29750.39843649388,3.647887323943662,2.091549295774648,0.0,10,13.023808588028169,77.58497893943662,74.44637409064552,R.T. Nagar,No Junction,WRONG PARKING,CAR,133
117,416,147,513.5,0.49588528030025825,36521.251036664595,3.493197278911565,2.020408163265306,1.0,3,12.992616530612246,77.55808771700681,66.89943726921544,Rajajinagar,BTP009 - Prakash Nagar Junction,WRONG PARKING,SCOOTER,134
118,12,222,508.0,0.4904898914938261,64680.56887254626,2.2882882882882885,2.0,0.0,9,12.996321993693693,77.56312972162164,25.99147513372239,Sheshadripuram,No Junction,NO PARKING,SCOOTER,168
119,80,138,497.90000000000003,0.48058199568565085,63394.596932363755,3.6079710144927537,2.079710144927536,1.0,2,12.968000413768115,77.58855438913042,28.211520369114776,Halasuru Gate,BTP076 - Hudson Circle,NO PARKING,SCOOTER,132
120,197,65,497.0,0.4796991138809619,63280.00537333758,7.6461538461538465,7.0,0.0,3,13.003451515384615,77.72349257230769,14.495847244905551,K.R. Pura,No Junction,PARKING IN A MAIN ROAD,SCOOTER,65
121,497,25,496.6,0.4793067219677669,63229.07579154818,19.864,6.8,1.0,2,12.960338548,77.562626388,43.717531135249075,Chamarajpet,"BTP089 - Police Quarters, Sultan Road",PARKING IN A MAIN ROAD,LGV,24
122,211,180,496.3,0.4790124280328706,55602.16083588307,2.7572222222222225,2.45,0.05555555555555555,2,12.93091336,77.60653703,53.30296486634868,Mico Layout,No Junction,NO PARKING,SCOOTER,126
123,94,51,481.0,0.4640034373531595,23274.685212526987,9.431372549019608,4.450980392156863,1.0,5,12.96903869019608,77.60199451960784,81.10650620951206,Ashok Nagar,"BTP099 - Cash Pharmacy, Residency Road",NO PARKING,CAR,49
124,263,79,475.8,0.4589023424816237,15190.480803560858,6.022784810126582,2.2911392405063293,1.0,8,12.968765898734178,77.5860427329114,99.85079393716039,Halasuru Gate,BTP075 - Police Corner,NO PARKING,CAR,76
125,217,138,470.0,0.45321265974029534,9639.161745185054,3.4057971014492754,2.0,0.0,4,13.035094676086956,77.62464555942029,124.58173038068597,K.G. Halli,No Junction,NO PARKING,CAR,111
